location,size,total_sqft,bath,price,bhk,price_per_sqft
Dodsworth Layout,3 Bedroom,5656.0,5.0,499.0,3,8822.489391796322
Dodsworth Layout,4 Bedroom,30000.0,4.0,2100.0,4,7000.0
Dodsworth Layout,6 Bedroom,30400.0,4.0,1824.0,6,6000.0
Dollar Scheme Colony,4 BHK,3463.0,6.0,310.0,4,8951.775916835115
Dollar Scheme Colony,4 BHK,3563.0,6.0,310.0,4,8700.533258490037
Dollars Colony,2 BHK,1097.0,2.0,65.0,2,5925.2506836827715
Dollars Colony,3 BHK,1350.0,3.0,75.0,3,5555.555555555556
Dollars Colony,3 BHK,2000.0,3.0,200.0,3,10000.0
Dollars Colony,3 Bedroom,7800.0,3.0,2000.0,3,25641.02564102564
Dollars Colony,4 BHK,2100.0,3.0,280.0,4,13333.333333333334
Dollars Colony,4 BHK,3500.0,4.0,350.0,4,10000.0
Dollars Colony,4 BHK,3100.0,5.0,385.0,4,12419.354838709678
Dollars Colony,4 Bedroom,4350.0,8.0,2600.0,4,59770.11494252874
Dollars Layout,3 BHK,1460.0,3.0,88.0,3,6027.397260273972
Dollars Layout,3 BHK,2456.0,3.0,220.0,3,8957.654723127036
Dollars Layout,4 Bedroom,4200.0,4.0,760.0,4,18095.238095238095
Dominic Layout,3 BHK,1115.0,3.0,39.14,3,3510.3139013452915
Domlur,1 BHK,640.0,1.0,55.0,1,8593.75
Domlur,1 BHK,650.0,1.0,70.0,1,10769.23076923077
Domlur,1 BHK,780.0,1.0,70.0,1,8974.358974358975
Domlur,2 BHK,1050.0,2.0,85.0,2,8095.238095238095
Domlur,2 BHK,1206.0,2.0,217.0,2,17993.366500829186
Domlur,2 BHK,1246.0,2.0,95.0,2,7624.398073836276
Domlur,2 BHK,1276.0,2.0,80.0,2,6269.592476489028
Domlur,3 BHK,1875.0,2.0,150.0,3,8000.0
Domlur,3 BHK,1429.0,3.0,86.0,3,6018.194541637508
Domlur,3 BHK,1540.0,3.0,90.0,3,5844.1558441558445
Domlur,3 BHK,1650.0,3.0,180.0,3,10909.09090909091
Domlur,3 BHK,1695.0,3.0,125.0,3,7374.6312684365785
Domlur,3 BHK,1720.0,3.0,135.0,3,7848.837209302325
Domlur,3 BHK,1740.0,3.0,120.0,3,6896.551724137931
Domlur,3 BHK,1800.0,3.0,150.0,3,8333.333333333334
Domlur,3 BHK,1850.0,3.0,180.0,3,9729.72972972973
Domlur,3 BHK,1950.0,3.0,165.0,3,8461.538461538461
Domlur,3 BHK,2100.0,3.0,145.0,3,6904.761904761905
Domlur,3 BHK,2180.0,3.0,285.0,3,13073.394495412844
Domlur,3 BHK,2180.0,3.0,285.0,3,13073.394495412844
Domlur,3 BHK,2955.0,3.0,235.0,3,7952.622673434857
Domlur,6 BHK,2400.0,4.0,600.0,6,25000.0
Domlur Layout,2 Bedroom,900.0,2.0,160.0,2,17777.777777777777
Domlur Layout,3 BHK,2000.0,3.0,200.0,3,10000.0
Domlur Layout,4 Bedroom,2400.0,4.0,595.0,4,24791.666666666668
Dommasandra,2 BHK,674.0,1.0,19.9,2,2952.522255192878
Dommasandra,2 BHK,805.0,2.0,22.14,2,2750.3105590062114
Dommasandra,2 BHK,850.0,2.0,25.4,2,2988.235294117647
Dommasandra,2 BHK,999.0,2.0,32.9,2,3293.293293293293
Dommasandra,2 BHK,1090.0,2.0,43.5,2,3990.8256880733943
Dommasandra,2 BHK,1153.0,2.0,43.5,2,3772.7666955767563
Dommasandra,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
Dommasandra,2 Bedroom,1500.0,2.0,40.0,2,2666.6666666666665
Dommasandra,3 BHK,1033.0,2.0,25.53,3,2471.4424007744433
Dommasandra,3 BHK,1033.0,2.0,31.5,3,3049.3707647628266
Dommasandra,3 Bedroom,900.0,3.0,75.0,3,8333.333333333334
Dommasandra,3 BHK,1267.0,3.0,56.0,3,4419.889502762431
Dommasandra,4 Bedroom,2700.0,3.0,68.0,4,2518.5185185185187
Doopanahalli,2 BHK,1050.0,2.0,70.0,2,6666.666666666667
Doopanahalli,3 BHK,1340.0,2.0,100.0,3,7462.686567164179
Doopanahalli,3 BHK,1475.0,2.0,200.0,3,13559.322033898305
Doopanahalli,3 BHK,1625.0,3.0,150.0,3,9230.76923076923
Doopanahalli,3 BHK,2250.0,3.0,199.0,3,8844.444444444445
Dooravani Nagar,3 BHK,1570.0,3.0,115.0,3,7324.84076433121
Dooravani Nagar,3 BHK,1578.0,3.0,180.0,3,11406.84410646388
Dooravani Nagar,3 BHK,1596.0,3.0,95.0,3,5952.380952380952
Dooravani Nagar,3 BHK,1596.0,3.0,105.0,3,6578.9473684210525
Double Road,3 Bedroom,500.0,3.0,100.0,3,20000.0
Dr Shivarama Karantha Nagar,2 BHK,1200.0,2.0,54.0,2,4500.0
Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,65.0,3,4333.333333333333
Duddanahalli,3 BHK,1340.0,2.0,47.0,3,3507.4626865671644
Duvasapalya,2 BHK,1190.0,2.0,48.6,2,4084.0336134453783
Dwaraka Nagar,3 BHK,1300.0,2.0,51.0,3,3923.076923076923
Dwarka Nagar,3 Bedroom,1200.0,3.0,95.75,3,7979.166666666667
Dwarka Nagar,8 Bedroom,2400.0,6.0,125.0,8,5208.333333333333
"ECC Road, Whitefield, ",2 BHK,1132.0,2.0,67.0,2,5918.727915194347
"ECC Road, Whitefield, ",3 BHK,1575.0,3.0,93.0,3,5904.761904761905
"EPIP AREA, WHITEFIELD",3 BHK,1801.0,3.0,139.0,3,7717.9344808439755
EPIP Zone,2 BHK,1125.0,2.0,65.0,2,5777.777777777777
EPIP Zone,2 BHK,1280.0,2.0,69.0,2,5390.625
EPIP Zone,2 BHK,1285.0,2.0,82.0,2,6381.322957198444
EPIP Zone,2 BHK,1330.0,2.0,86.98,2,6539.849624060151
EPIP Zone,2 BHK,1330.0,2.0,92.5,2,6954.887218045113
EPIP Zone,2 BHK,1330.0,2.0,93.36,2,7019.548872180451
EPIP Zone,2 BHK,1343.0,2.0,86.0,2,6403.574087862993
EPIP Zone,2 BHK,1810.0,2.0,65.0,2,3591.160220994475
EPIP Zone,3 BHK,1500.0,3.0,102.0,3,6800.0
EPIP Zone,3 BHK,1709.0,3.0,80.0,3,4681.100058513751
EPIP Zone,3 BHK,1734.0,3.0,125.0,3,7208.76585928489
EPIP Zone,3 BHK,1860.0,3.0,130.0,3,6989.247311827957
EPIP Zone,3 BHK,2210.0,3.0,165.0,3,7466.06334841629
EPIP Zone,3 BHK,2330.0,3.0,162.0,3,6952.789699570815
EPIP Zone,3 BHK,2500.0,3.0,268.0,3,10720.0
EPIP Zone,3 BHK,2710.0,3.0,177.0,3,6531.365313653137
EPIP Zone,3 BHK,2160.0,4.0,172.0,3,7962.962962962963
EPIP Zone,3 BHK,2350.0,4.0,163.0,3,6936.170212765957
EPIP Zone,3 BHK,1499.0,5.0,102.0,3,6804.536357571715
EPIP Zone,4 BHK,3035.0,5.0,200.0,4,6589.785831960461
EPIP Zone,4 BHK,3360.0,5.0,221.0,4,6577.380952380952
EPIP Zone,4 BHK,3360.0,5.0,225.0,4,6696.428571428572
EPIP Zone,4 BHK,3800.0,5.0,170.0,4,4473.684210526316
Ejipura,2 Bedroom,922.0,2.0,70.0,2,7592.190889370932
Ejipura,2 BHK,1190.0,2.0,70.0,2,5882.35294117647
Ejipura,2 BHK,1200.0,2.0,60.0,2,5000.0
Ejipura,2 BHK,1210.0,2.0,75.0,2,6198.347107438017
Ejipura,3 BHK,1600.0,3.0,95.0,3,5937.5
Ejipura,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
Ejipura,3 BHK,2070.0,3.0,135.0,3,6521.739130434783
Ejipura,5 Bedroom,1356.0,5.0,139.0,5,10250.737463126843
Ejipura,7 Bedroom,1800.0,7.0,250.0,7,13888.888888888889
Electronic City,1 BHK,418.0,1.0,12.0,1,2870.813397129187
Electronic City,1 BHK,435.0,1.0,21.0,1,4827.586206896552
Electronic City,1 BHK,435.0,1.0,22.0,1,5057.471264367816
Electronic City,1 BHK,530.0,1.0,13.5,1,2547.169811320755
Electronic City,1 BHK,550.0,1.0,12.0,1,2181.818181818182
Electronic City,1 BHK,589.0,1.0,27.0,1,4584.040747028863
Electronic City,1 BHK,589.0,1.0,29.0,1,4923.599320882852
Electronic City,1 BHK,605.0,1.0,13.31,1,2200.0
Electronic City,1 BHK,605.0,1.0,22.0,1,3636.3636363636365
Electronic City,1 BHK,630.0,1.0,33.7,1,5349.20634920635
Electronic City,1 BHK,630.0,1.0,34.65,1,5500.0
Electronic City,1 BHK,630.0,1.0,40.5,1,6428.571428571428
Electronic City,1 BHK,630.0,1.0,46.0,1,7301.587301587301
Electronic City,1 BHK,630.0,1.0,47.0,1,7460.31746031746
Electronic City,1 BHK,630.0,1.0,47.0,1,7460.31746031746
Electronic City,1 BHK,630.0,1.0,60.0,1,9523.809523809523
Electronic City,1 BHK,635.0,1.0,28.0,1,4409.4488188976375
Electronic City,1 BHK,635.0,1.0,28.0,1,4409.4488188976375
Electronic City,1 BHK,700.0,1.0,35.0,1,5000.0
Electronic City,1 BHK,710.0,1.0,40.42,1,5692.957746478874
Electronic City,1 BHK,750.0,1.0,35.0,1,4666.666666666667
Electronic City,1 BHK,1090.0,2.0,31.48,1,2888.0733944954127
Electronic City,2 BHK,550.0,1.0,15.0,2,2727.2727272727275
Electronic City,2 BHK,550.0,1.0,15.0,2,2727.2727272727275
Electronic City,2 BHK,550.0,1.0,15.0,2,2727.2727272727275
Electronic City,2 BHK,550.0,1.0,16.0,2,2909.090909090909
Electronic City,2 BHK,550.0,1.0,16.0,2,2909.090909090909
Electronic City,2 BHK,660.0,1.0,15.0,2,2272.7272727272725
Electronic City,2 BHK,660.0,1.0,15.5,2,2348.4848484848485
Electronic City,2 BHK,660.0,1.0,16.0,2,2424.242424242424
Electronic City,2 BHK,660.0,1.0,16.5,2,2500.0
Electronic City,2 BHK,660.0,1.0,18.0,2,2727.2727272727275
Electronic City,2 BHK,660.0,1.0,18.0,2,2727.2727272727275
Electronic City,2 BHK,660.0,1.0,23.0,2,3484.848484848485
Electronic City,2 BHK,660.0,1.0,23.1,2,3500.0
Electronic City,2 BHK,755.0,1.0,34.0,2,4503.311258278146
Electronic City,2 BHK,770.0,1.0,35.0,2,4545.454545454545
Electronic City,2 BHK,770.0,1.0,36.0,2,4675.324675324675
Electronic City,2 BHK,770.0,1.0,38.0,2,4935.064935064935
Electronic City,2 BHK,770.0,1.0,39.9,2,5181.818181818182
Electronic City,2 BHK,770.0,1.0,40.0,2,5194.805194805195
Electronic City,2 BHK,880.0,1.0,16.5,2,1875.0
Electronic City,2 BHK,1025.0,1.0,26.63,2,2598.048780487805
Electronic City,2 BHK,550.0,2.0,16.0,2,2909.090909090909
Electronic City,2 BHK,710.0,2.0,16.0,2,2253.521126760563
Electronic City,2 BHK,750.0,2.0,19.5,2,2600.0
Electronic City,2 BHK,800.0,2.0,32.0,2,4000.0
Electronic City,2 BHK,825.0,2.0,30.0,2,3636.3636363636365
Electronic City,2 BHK,825.0,2.0,35.0,2,4242.424242424242
Electronic City,2 BHK,865.0,2.0,40.0,2,4624.277456647399
Electronic City,2 BHK,865.0,2.0,42.0,2,4855.491329479769
Electronic City,2 BHK,870.0,2.0,24.0,2,2758.6206896551726
Electronic City,2 BHK,870.0,2.0,39.5,2,4540.229885057472
Electronic City,2 BHK,880.0,2.0,19.0,2,2159.090909090909
Electronic City,2 BHK,880.0,2.0,29.0,2,3295.4545454545455
Electronic City,2 BHK,890.0,2.0,40.0,2,4494.38202247191
Electronic City,2 BHK,890.0,2.0,45.0,2,5056.179775280899
Electronic City,2 BHK,910.0,2.0,40.0,2,4395.604395604396
Electronic City,2 BHK,910.0,2.0,42.0,2,4615.384615384615
Electronic City,2 BHK,919.0,2.0,34.0,2,3699.6735582154515
Electronic City,2 BHK,919.0,2.0,35.0,2,3808.487486398259
Electronic City,2 BHK,919.0,2.0,40.0,2,4352.557127312296
Electronic City,2 BHK,921.0,2.0,34.0,2,3691.6395222584147
Electronic City,2 BHK,940.0,2.0,41.0,2,4361.702127659574
Electronic City,2 BHK,940.0,2.0,54.0,2,5744.68085106383
Electronic City,2 BHK,970.0,2.0,34.0,2,3505.1546391752577
Electronic City,2 BHK,970.0,2.0,35.0,2,3608.2474226804125
Electronic City,2 BHK,975.0,2.0,32.0,2,3282.051282051282
Electronic City,2 BHK,975.0,2.0,37.5,2,3846.153846153846
Electronic City,2 BHK,995.0,2.0,48.0,2,4824.120603015075
Electronic City,2 BHK,1000.0,2.0,22.0,2,2200.0
Electronic City,2 BHK,1000.0,2.0,25.0,2,2500.0
Electronic City,2 BHK,1000.0,2.0,28.88,2,2888.0
Electronic City,2 BHK,1000.0,2.0,29.7,2,2970.0
Electronic City,2 BHK,1000.0,2.0,29.95,2,2995.0
Electronic City,2 BHK,1000.0,2.0,41.0,2,4100.0
Electronic City,2 BHK,1005.0,2.0,39.77,2,3957.213930348259
Electronic City,2 BHK,1017.0,2.0,27.0,2,2654.8672566371683
Electronic City,2 BHK,1020.0,2.0,29.45,2,2887.2549019607845
Electronic City,2 BHK,1020.0,2.0,29.45,2,2887.2549019607845
Electronic City,2 BHK,1020.0,2.0,29.46,2,2888.235294117647
Electronic City,2 BHK,1020.0,2.0,29.46,2,2888.235294117647
Electronic City,2 BHK,1020.0,2.0,30.27,2,2967.6470588235293
Electronic City,2 BHK,1025.0,2.0,29.6,2,2887.8048780487807
Electronic City,2 BHK,1025.0,2.0,29.6,2,2887.8048780487807
Electronic City,2 BHK,1025.0,2.0,29.61,2,2888.7804878048782
Electronic City,2 BHK,1025.0,2.0,46.0,2,4487.804878048781
Electronic City,2 BHK,1025.0,2.0,49.0,2,4780.487804878048
Electronic City,2 BHK,1025.0,2.0,50.0,2,4878.048780487805
Electronic City,2 BHK,1025.0,2.0,53.9,2,5258.536585365854
Electronic City,2 BHK,1025.0,2.0,54.0,2,5268.292682926829
Electronic City,2 BHK,1025.0,2.0,54.1,2,5278.048780487805
Electronic City,2 BHK,1025.0,2.0,54.5,2,5317.073170731707
Electronic City,2 BHK,1039.0,2.0,50.0,2,4812.319538017325
Electronic City,2 BHK,1060.0,2.0,51.0,2,4811.320754716981
Electronic City,2 BHK,1060.0,2.0,52.0,2,4905.66037735849
Electronic City,2 BHK,1060.0,2.0,55.0,2,5188.679245283019
Electronic City,2 BHK,1060.0,2.0,55.0,2,5188.679245283019
Electronic City,2 BHK,1060.0,2.0,58.0,2,5471.698113207547
Electronic City,2 BHK,1060.0,2.0,60.0,2,5660.377358490566
Electronic City,2 BHK,1065.0,2.0,30.75,2,2887.323943661972
Electronic City,2 BHK,1065.0,2.0,30.75,2,2887.323943661972
Electronic City,2 BHK,1065.0,2.0,30.76,2,2888.262910798122
Electronic City,2 BHK,1070.0,2.0,46.0,2,4299.065420560748
Electronic City,2 BHK,1070.0,2.0,47.0,2,4392.523364485981
Electronic City,2 BHK,1070.0,2.0,48.0,2,4485.981308411215
Electronic City,2 BHK,1070.0,2.0,48.0,2,4485.981308411215
Electronic City,2 BHK,1070.0,2.0,52.0,2,4859.813084112149
Electronic City,2 BHK,1070.0,2.0,52.0,2,4859.813084112149
Electronic City,2 BHK,1070.0,2.0,53.0,2,4953.271028037383
Electronic City,2 BHK,1070.0,2.0,54.0,2,5046.728971962617
Electronic City,2 BHK,1070.0,2.0,55.0,2,5140.186915887851
Electronic City,2 BHK,1070.0,2.0,55.0,2,5140.186915887851
Electronic City,2 BHK,1070.0,2.0,55.0,2,5140.186915887851
Electronic City,2 BHK,1070.0,2.0,56.1,2,5242.990654205608
Electronic City,2 BHK,1070.0,2.0,57.0,2,5327.102803738318
Electronic City,2 BHK,1070.0,2.0,58.0,2,5420.560747663551
Electronic City,2 BHK,1070.0,2.0,60.0,2,5607.476635514019
Electronic City,2 BHK,1070.0,2.0,60.0,2,5607.476635514019
Electronic City,2 BHK,1073.0,2.0,60.0,2,5591.798695246971
Electronic City,2 BHK,1089.0,2.0,45.0,2,4132.231404958678
Electronic City,2 BHK,1090.0,2.0,31.48,2,2888.0733944954127
Electronic City,2 BHK,1090.0,2.0,31.49,2,2888.9908256880735
Electronic City,2 BHK,1090.0,2.0,35.03,2,3213.761467889908
Electronic City,2 BHK,1094.0,2.0,42.0,2,3839.1224862888484
Electronic City,2 BHK,1096.0,2.0,39.0,2,3558.394160583942
Electronic City,2 BHK,1096.0,2.0,40.55,2,3699.8175182481746
Electronic City,2 BHK,1100.0,2.0,40.0,2,3636.3636363636365
Electronic City,2 BHK,1100.0,2.0,41.0,2,3727.2727272727275
Electronic City,2 BHK,1100.0,2.0,42.0,2,3818.181818181818
Electronic City,2 BHK,1100.0,2.0,45.0,2,4090.909090909091
Electronic City,2 BHK,1108.0,2.0,63.0,2,5685.9205776173285
Electronic City,2 BHK,1108.0,2.0,63.0,2,5685.9205776173285
Electronic City,2 BHK,1108.0,2.0,67.15,2,6060.469314079423
Electronic City,2 BHK,1110.0,2.0,39.9,2,3594.5945945945946
Electronic City,2 BHK,1110.0,2.0,39.95,2,3599.0990990990995
Electronic City,2 BHK,1110.0,2.0,40.0,2,3603.6036036036035
Electronic City,2 BHK,1125.0,2.0,28.13,2,2500.4444444444443
Electronic City,2 BHK,1125.0,2.0,32.49,2,2888.0
Electronic City,2 BHK,1125.0,2.0,32.49,2,2888.0
Electronic City,2 BHK,1125.0,2.0,32.5,2,2888.8888888888887
Electronic City,2 BHK,1125.0,2.0,58.0,2,5155.555555555556
Electronic City,2 BHK,1127.0,2.0,32.0,2,2839.396628216504
Electronic City,2 BHK,1128.0,2.0,63.0,2,5585.106382978724
Electronic City,2 BHK,1128.0,2.0,63.5,2,5629.432624113475
Electronic City,2 BHK,1128.0,2.0,64.0,2,5673.758865248227
Electronic City,2 BHK,1128.0,2.0,64.0,2,5673.758865248227
Electronic City,2 BHK,1128.0,2.0,64.8,2,5744.68085106383
Electronic City,2 BHK,1128.0,2.0,65.0,2,5762.41134751773
Electronic City,2 BHK,1128.0,2.0,65.0,2,5762.41134751773
Electronic City,2 BHK,1128.0,2.0,65.35,2,5793.439716312056
Electronic City,2 BHK,1128.0,2.0,65.4,2,5797.8723404255325
Electronic City,2 BHK,1128.0,2.0,65.45,2,5802.304964539007
Electronic City,2 BHK,1128.0,2.0,65.49,2,5805.851063829787
Electronic City,2 BHK,1128.0,2.0,65.5,2,5806.737588652482
Electronic City,2 BHK,1128.0,2.0,65.58,2,5813.829787234043
Electronic City,2 BHK,1128.0,2.0,65.65,2,5820.035460992909
Electronic City,2 BHK,1128.0,2.0,65.7,2,5824.468085106383
Electronic City,2 BHK,1128.0,2.0,67.0,2,5939.7163120567375
Electronic City,2 BHK,1128.0,2.0,68.0,2,6028.368794326241
Electronic City,2 BHK,1128.0,2.0,68.75,2,6094.858156028369
Electronic City,2 BHK,1130.0,2.0,32.63,2,2887.610619469027
Electronic City,2 BHK,1130.0,2.0,32.63,2,2887.610619469027
Electronic City,2 BHK,1130.0,2.0,32.64,2,2888.495575221239
Electronic City,2 BHK,1140.0,2.0,32.92,2,2887.719298245614
Electronic City,2 BHK,1140.0,2.0,32.93,2,2888.59649122807
Electronic City,2 BHK,1140.0,2.0,33.84,2,2968.421052631579
Electronic City,2 BHK,1140.0,2.0,70.93,2,6221.9298245614045
Electronic City,2 BHK,1142.0,2.0,35.0,2,3064.7985989492117
Electronic City,2 BHK,1150.0,2.0,35.0,2,3043.478260869565
Electronic City,2 BHK,1150.0,2.0,38.0,2,3304.3478260869565
Electronic City,2 BHK,1150.0,2.0,38.0,2,3304.3478260869565
Electronic City,2 BHK,1150.0,2.0,38.08,2,3311.304347826087
Electronic City,2 BHK,1152.0,2.0,64.5,2,5598.958333333333
Electronic City,2 BHK,1152.0,2.0,65.0,2,5642.361111111111
Electronic City,2 BHK,1152.0,2.0,65.75,2,5707.465277777777
Electronic City,2 BHK,1156.0,2.0,42.0,2,3633.2179930795846
Electronic City,2 BHK,1160.0,2.0,33.5,2,2887.9310344827586
Electronic City,2 BHK,1165.0,2.0,33.64,2,2887.5536480686696
Electronic City,2 BHK,1165.0,2.0,33.64,2,2887.5536480686696
Electronic City,2 BHK,1165.0,2.0,33.65,2,2888.412017167382
Electronic City,2 BHK,1170.0,2.0,33.0,2,2820.5128205128203
Electronic City,2 BHK,1175.0,2.0,47.0,2,4000.0
Electronic City,2 BHK,1190.0,2.0,42.0,2,3529.4117647058824
Electronic City,2 BHK,1200.0,2.0,20.0,2,1666.6666666666667
Electronic City,2 BHK,1200.0,2.0,30.0,2,2500.0
Electronic City,2 BHK,1200.0,2.0,34.0,2,2833.3333333333335
Electronic City,2 BHK,1200.0,2.0,34.65,2,2887.5
Electronic City,2 BHK,1200.0,2.0,34.65,2,2887.5
Electronic City,2 BHK,1200.0,2.0,34.66,2,2888.333333333333
Electronic City,2 BHK,1200.0,2.0,40.5,2,3375.0
Electronic City,2 BHK,1200.0,2.0,59.0,2,4916.666666666667
Electronic City,2 BHK,1210.0,2.0,25.0,2,2066.115702479339
Electronic City,2 BHK,1210.0,2.0,54.0,2,4462.809917355372
Electronic City,2 BHK,1210.0,2.0,55.0,2,4545.454545454545
Electronic City,2 BHK,1213.0,2.0,59.32,2,4890.35449299258
Electronic City,2 BHK,1221.0,2.0,68.0,2,5569.205569205569
Electronic City,2 BHK,1250.0,2.0,62.0,2,4960.0
Electronic City,2 BHK,1258.0,2.0,85.5,2,6796.502384737679
Electronic City,2 BHK,1265.0,2.0,56.93,2,4500.395256916996
Electronic City,2 BHK,1296.0,2.0,65.0,2,5015.432098765432
Electronic City,2 BHK,1342.0,2.0,72.0,2,5365.126676602086
Electronic City,2 BHK,1342.0,2.0,73.3,2,5461.997019374068
Electronic City,2 BHK,1342.0,2.0,90.0,2,6706.408345752608
Electronic City,2 BHK,1353.0,2.0,75.0,2,5543.2372505543235
Electronic City,2 BHK,1355.0,2.0,67.0,2,4944.649446494465
Electronic City,2 BHK,1355.0,2.0,72.9,2,5380.073800738008
Electronic City,2 BHK,1355.0,2.0,73.0,2,5387.453874538745
Electronic City,2 BHK,1355.0,2.0,97.6,2,7202.952029520296
Electronic City,2 BHK,1363.0,2.0,79.0,2,5796.038151137197
Electronic City,2 BHK,1386.0,2.0,85.0,2,6132.7561327561325
Electronic City,3 BHK,880.0,2.0,18.0,3,2045.4545454545455
Electronic City,3 BHK,1025.0,2.0,47.0,3,4585.365853658536
Electronic City,3 BHK,1033.0,2.0,28.41,3,2750.242013552759
Electronic City,3 BHK,1050.0,2.0,39.0,3,3714.285714285714
Electronic City,3 BHK,1105.0,2.0,35.0,3,3167.420814479638
Electronic City,3 BHK,1156.0,2.0,44.0,3,3806.2283737024222
Electronic City,3 BHK,1159.0,2.0,38.0,3,3278.688524590164
Electronic City,3 BHK,1160.0,2.0,42.0,3,3620.689655172414
Electronic City,3 BHK,1160.0,2.0,42.0,3,3620.689655172414
Electronic City,3 BHK,1220.0,2.0,35.23,3,2887.7049180327863
Electronic City,3 BHK,1220.0,2.0,35.24,3,2888.5245901639346
Electronic City,3 BHK,1220.0,2.0,35.25,3,2889.344262295082
Electronic City,3 BHK,1310.0,2.0,37.83,3,2887.7862595419847
Electronic City,3 BHK,1320.0,2.0,38.12,3,2887.8787878787875
Electronic City,3 BHK,1320.0,2.0,38.12,3,2887.8787878787875
Electronic City,3 BHK,1320.0,2.0,38.13,3,2888.636363636364
Electronic City,3 BHK,1350.0,2.0,56.0,3,4148.148148148148
Electronic City,3 BHK,1360.0,2.0,58.0,3,4264.705882352941
Electronic City,3 BHK,1360.0,2.0,64.99,3,4778.676470588234
Electronic City,3 BHK,1360.0,2.0,70.0,3,5147.058823529412
Electronic City,3 BHK,1360.0,2.0,70.5,3,5183.823529411765
Electronic City,3 BHK,1360.0,2.0,71.0,3,5220.588235294118
Electronic City,3 BHK,1360.0,2.0,75.0,3,5514.705882352941
Electronic City,3 BHK,1374.0,2.0,72.0,3,5240.174672489083
Electronic City,3 BHK,1400.0,2.0,40.44,3,2888.5714285714284
Electronic City,3 BHK,1400.0,2.0,40.44,3,2888.5714285714284
Electronic City,3 BHK,1400.0,2.0,40.45,3,2889.2857142857147
Electronic City,3 BHK,1400.0,2.0,48.0,3,3428.5714285714284
Electronic City,3 BHK,1410.0,2.0,38.0,3,2695.0354609929077
Electronic City,3 BHK,1440.0,2.0,55.0,3,3819.4444444444443
Electronic City,3 BHK,1470.0,2.0,44.1,3,3000.0
Electronic City,3 BHK,1500.0,2.0,63.0,3,4200.0
Electronic City,3 BHK,1500.0,2.0,64.5,3,4300.0
Electronic City,3 BHK,1500.0,2.0,64.5,3,4300.0
Electronic City,3 BHK,1500.0,2.0,70.0,3,4666.666666666667
Electronic City,3 BHK,1500.0,2.0,75.0,3,5000.0
Electronic City,3 BHK,1500.0,2.0,77.5,3,5166.666666666667
Electronic City,3 BHK,1500.0,2.0,78.0,3,5200.0
Electronic City,3 BHK,1500.0,2.0,78.0,3,5200.0
Electronic City,3 BHK,1500.0,2.0,78.25,3,5216.666666666667
Electronic City,3 BHK,1500.0,2.0,100.0,3,6666.666666666667
Electronic City,3 BHK,1521.0,2.0,57.5,3,3780.4076265614726
Electronic City,3 BHK,1530.0,2.0,45.9,3,3000.0
Electronic City,3 BHK,1691.0,2.0,102.0,3,6031.933767001774
Electronic City,3 BHK,2400.0,2.0,78.0,3,3250.0
Electronic City,3 BHK,1111.0,3.0,50.0,3,4500.450045004501
Electronic City,3 Bedroom,1200.0,3.0,90.0,3,7500.0
Electronic City,3 Bedroom,1200.0,3.0,150.0,3,12500.0
Electronic City,3 BHK,1225.0,3.0,45.03,3,3675.918367346939
Electronic City,3 BHK,1275.0,3.0,63.43,3,4974.901960784314
Electronic City,3 BHK,1275.0,3.0,70.0,3,5490.196078431372
Electronic City,3 BHK,1287.0,3.0,55.0,3,4273.504273504273
Electronic City,3 BHK,1350.0,3.0,58.0,3,4296.2962962962965
Electronic City,3 BHK,1350.0,3.0,66.0,3,4888.888888888889
Electronic City,3 Bedroom,1400.0,3.0,90.0,3,6428.571428571428
Electronic City,3 BHK,1449.0,3.0,90.0,3,6211.180124223602
Electronic City,3 BHK,1449.0,3.0,100.0,3,6901.311249137336
Electronic City,3 Bedroom,1500.0,3.0,73.0,3,4866.666666666667
Electronic City,3 BHK,1518.0,3.0,75.0,3,4940.711462450593
Electronic City,3 BHK,1563.0,3.0,91.84,3,5875.879718490083
Electronic City,3 BHK,1571.0,3.0,83.0,3,5283.259070655633
Electronic City,3 BHK,1571.0,3.0,89.0,3,5665.1814131126675
Electronic City,3 BHK,1571.0,3.0,105.0,3,6683.64099299809
Electronic City,3 BHK,1575.0,3.0,90.0,3,5714.285714285715
Electronic City,3 BHK,1575.0,3.0,94.5,3,6000.0
Electronic City,3 BHK,1575.0,3.0,101.0,3,6412.6984126984125
Electronic City,3 BHK,1599.0,3.0,99.0,3,6191.369606003753
Electronic City,3 BHK,1599.0,3.0,125.0,3,7817.385866166354
Electronic City,3 BHK,1600.0,3.0,104.0,3,6500.0
Electronic City,3 BHK,1609.0,3.0,115.0,3,7147.296457426974
Electronic City,3 BHK,1615.0,3.0,97.0,3,6006.1919504643965
Electronic City,3 BHK,1620.0,3.0,62.0,3,3827.1604938271603
Electronic City,3 BHK,1631.0,3.0,80.0,3,4904.9662783568365
Electronic City,3 BHK,1644.0,3.0,92.59,3,5631.995133819952
Electronic City,3 BHK,1650.0,3.0,100.0,3,6060.606060606061
Electronic City,3 BHK,1652.0,3.0,70.0,3,4237.28813559322
Electronic City,3 BHK,1652.0,3.0,110.0,3,6658.595641646489
Electronic City,3 BHK,1700.0,3.0,75.0,3,4411.764705882353
